step,mode,loss,angle_error(rad)
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
1,training,0.0,0.0
2,training,0.102187485,0.5535901099443435
2,test,0,0.04221193492412567
2,test,0,0.042302265763282776
2,test,0,0.042277991771698
2,test,0,0.04234926775097847
2,test,0,0.04197274148464203
2,test,0,0.0415378138422966
2,test,0,0.04164540767669678
2,test,0,0.04122705012559891
2,test,0,0.04126599058508873
2,test,0,0.041724544018507004
2,test,0,0.04191923886537552
2,test,0,0.04193689674139023
2,test,0,0.04193364083766937
2,test,0,0.04259856045246124
2,test,0,0.04301540181040764
3,training,0.13297375,0.4312065176665783
4,training,0.091062434,0.38686221539974214
5,training,0.10827781,0.38036069720983506
6,training,0.12375499,0.36041361168026925
7,training,0.11736223,0.3341121941804886
8,training,0.10367442,0.01186366192996502
8,test,0,0.08058996498584747
8,test,0,0.07968871295452118
8,test,0,0.07772964239120483
8,test,0,0.07517779618501663
8,test,0,0.07569509744644165
8,test,0,0.07394100725650787
8,test,0,0.07134278863668442
8,test,0,0.07031895220279694
8,test,0,0.06828895211219788
8,test,0,0.06653016805648804
8,test,0,0.06413033604621887
8,test,0,0.06259705871343613
8,test,0,0.06264185160398483
8,test,0,0.0627969428896904
8,test,0,0.060819111764431
8,test,0,0.060049839317798615
8,test,0,0.06150607019662857
8,test,0,0.06041434779763222
8,test,0,0.0608566515147686
8,test,0,0.059251416474580765
8,test,0,0.059106841683387756
