step,mode,loss,angle_error(rad)
1,training,0.0,0.0
2,training,0.020139618,0.02260734885931015
3,training,0.020206418,0.03039637766778469
4,training,0.11188869,0.8675579369068146
5,training,0.117546394,0.2976222410798073
6,training,0.118813895,0.06241344287991524
7,training,0.043379515,0.46081929057836535
8,training,0.15567392,0.969692425429821
9,training,0.039373074,0.9424613393843174
10,training,0.12177312,0.022097008302807808
11,training,0.11837774,0.09101148694753647
12,training,0.2757308,0.048625281453132635
13,training,0.22363247,0.16757762134075166
14,training,0.16697079,0.15016276538372042
15,training,0.05725965,0.1320218235254288
16,training,0.20424336,0.18657324314117435
