step,mode,loss,angle_error(rad)
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
