step,mode,loss,angle_error(rad)
1,training,0.0,0.0
2,training,0.020007655,0.01036621630191803
3,training,0.025676504,0.014471791684627533
4,training,0.019700207,0.013188928365707397
5,training,0.03458994,0.35742791667580603
6,training,0.028268155,0.35760013964027165
7,training,0.039119374,0.35791270174086093
8,training,0.03485574,0.012482900172472
9,training,0.03307053,0.005351069383323193
10,training,0.044909254,0.273169306665659
11,training,0.053594287,0.3444913107901812
12,training,0.016090933,0.03639522194862366
13,training,0.039792545,0.34293624460697175
14,training,0.038196974,0.3745641209185124
15,training,0.057688568,0.349116437882185
16,training,0.05467416,0.37196822315454486
17,training,0.05231622,0.4350994035601616
18,training,0.07250082,0.4108124323189259
19,training,0.053637087,0.028887471184134483
20,training,0.056129757,0.009495972655713558
21,training,0.042543605,0.090482259914279
22,training,0.03678145,0.07453474402427673
23,training,0.042416215,0.09773552417755127
24,training,0.049579814,0.32378545999526975
25,training,0.052649066,0.09295477718114853
26,training,0.041670915,0.07522803544998169
27,training,0.05874519,0.06262824684381485
28,training,0.023643961,0.05020512267947197
29,training,0.024996478,0.04568757489323616
30,training,0.0330509,0.18081467598676682
31,training,0.040257175,0.08685387186706067
32,training,0.035764415,0.15022388026118277
33,training,0.02590809,0.15330984368920325
34,training,0.033232458,0.05279018357396126
35,training,0.032479037,0.04817422106862068
36,training,0.031666487,0.1553396783769131
37,training,0.033063,0.02925548143684864
38,training,0.040419146,0.016466164961457253
39,training,0.044840284,0.014186074957251549
40,training,0.03392354,0.02409789152443409
41,training,0.019574977,0.027544060721993446
42,training,0.0262202,0.03039202280342579
43,training,0.021175617,0.03880120441317558
44,training,0.04059515,0.042079225182533264
45,training,0.015764056,0.029515018686652184
46,training,0.0381533,0.0048991609364748
47,training,0.017554078,0.007634250912815332
48,training,0.03321476,0.7688884917646647
49,training,0.024397321,0.02154681086540222
50,training,0.02188959,0.2493013576604426
51,training,0.027511671,0.33493866417557
52,training,0.018499903,0.015595334582030773
53,training,0.022912499,0.761539164185524
54,training,0.099997066,0.8135731977410615
55,training,0.10388146,0.9050176568329334
56,training,0.022984633,0.9328645370900631
57,training,0.01301402,0.678418792411685
58,training,0.071292736,0.4099113451316953
59,training,0.09845066,0.0063221389427781105
