step,mode,loss,angle_error(rad)
1,test,0,0.010416075587272644
2,test,0,0.10511807352304459
3,test,0,0.10746406018733978
4,test,0,0.11002831161022186
5,test,0,0.12435715645551682
6,test,0,0.14520496129989624
7,test,0,0.1673680543899536
8,test,0,0.16710948944091797
9,test,0,0.2281615138053894
10,test,0,0.25151464343070984
11,test,0,0.3053725063800812
12,test,0,0.26523861289024353
13,test,0,0.22061988711357117
14,test,0,0.1385124921798706
15,test,0,0.12366349250078201
16,test,0,0.12101151794195175
17,test,0,0.19465765357017517
18,test,0,0.13761314749717712
19,test,0,0.1596156358718872
20,test,0,0.0311370100826025
21,test,0,0.057163055986166
22,test,0,0.19701355695724487
23,test,0,0.22221867740154266
24,test,0,0.22410334646701813
25,test,0,0.22232483327388763
26,test,0,0.22305478155612946
27,test,0,0.2223048061132431
28,test,0,0.2224082201719284
29,test,0,0.22227945923805237
30,test,0,0.22803087532520294
31,test,0,0.2269778847694397
32,test,0,0.22613045573234558
33,test,0,0.2304491251707077
34,test,0,0.23626437783241272
35,test,0,0.23638108372688293
36,test,0,0.23568029701709747
37,test,0,0.23574671149253845
38,test,0,0.2403329461812973
39,test,0,0.24758467078208923
40,test,0,0.25348737835884094
41,test,0,0.2538275122642517
42,test,0,0.2566647529602051
43,test,0,0.25715601444244385
44,test,0,0.257435142993927
45,test,0,0.25741079449653625
46,test,0,0.2588731646537781
47,test,0,0.2586337924003601
48,test,0,0.26377415657043457
49,test,0,0.257454514503479
50,test,0,0.2573501467704773
51,test,0,0.257400244474411
52,test,0,0.25808006525039673
53,test,0,0.2603234648704529
54,test,0,0.25735023617744446
55,test,0,0.25957274436950684
56,test,0,0.25992241501808167
57,test,0,0.25846314430236816
58,test,0,0.2582245469093323
59,test,0,0.2612333595752716
60,test,0,0.26159584522247314
61,test,0,0.2590163052082062
62,test,0,0.25764670968055725
63,test,0,0.26228854060173035
64,test,0,0.26127466559410095
65,test,0,0.2594306766986847
66,test,0,0.2581930458545685
67,test,0,0.2592202425003052
68,test,0,0.2633710205554962
69,test,0,0.2644028961658478
70,test,0,0.26739567518234253
71,test,0,0.26686564087867737
72,test,0,0.26662978529930115
73,test,0,0.2664656341075897
74,test,0,0.27007925510406494
75,test,0,0.2717513144016266
