step,mode,loss,angle_error(rad)
1,training,0.0,0.0
2,training,0.056896873,0.3778520841151476
3,training,0.08336115,0.45297344019636515
4,training,0.12819676,0.731489696726203
5,training,0.21293256,0.8286021918058396
6,training,0.2765957,0.7997086584568024
7,training,0.32535806,0.7474954217672348
8,training,0.24110772,0.6894092500209809
9,training,0.2494753,0.6310226261615753
10,training,0.22750483,0.49631656408309943
11,training,0.17599352,0.39404475688934326
12,training,0.11276038,0.581333339214325
13,training,0.32172897,0.6623055338859558
14,training,0.20542496,0.5452010631561279
15,training,0.20249042,0.36045682430267334
16,training,0.27073923,0.23157911002635956
17,training,0.07507179,0.14935733750462532
18,training,0.10185467,0.03708975911140441
19,training,0.016675206,0.14064258337020874
20,training,0.120026655,0.2594941109418869
21,training,0.13684414,0.2681470736861229
22,training,0.18917888,0.27036795020103455
23,training,0.21743926,0.09478945285081863
24,training,0.040149678,0.10588380694389343
25,training,0.109939255,0.11327062547206879
26,training,0.058786973,0.12371790409088135
27,training,0.05313723,0.04282962754368781
28,training,0.17355633,0.04955762103199958
29,training,0.15450653,0.1544056534767151
30,training,0.031912714,0.15181061625480652
31,training,0.025787065,0.14478327333927155
32,training,0.16806003,0.12610411643981934
33,training,0.030137822,0.12029983848333359
34,training,0.08391643,0.12200397998094559
35,training,0.038921922,0.1206623986363411
36,training,0.09267165,0.11113166809082031
37,training,0.10119467,0.10389623790979385
38,training,0.09748194,0.09396522492170334
39,training,0.014598852,0.07621290534734726
40,training,0.08166488,0.06292368471622467
41,training,0.028908495,0.05423670634627342
42,training,0.09930189,0.037335462868213654
43,training,0.01831936,0.031967226415872574
44,training,0.055770207,0.031079700216650963
45,training,0.06088076,0.04018683731555939
46,training,0.026638709,0.0413675531744957
47,training,0.02266954,0.027085622772574425
48,training,0.14523846,0.027649737894535065
49,training,0.12339034,0.04322699084877968
50,training,0.026931824,0.04459730163216591
51,training,0.012263668,0.02441399358212948
52,training,0.0084813405,0.013288937509059906
53,training,0.022513,0.008271437138319016
54,training,0.008886541,0.013687700033187866
55,training,0.05517001,0.012342261150479317
56,training,0.015004675,0.007151205558329821
57,training,0.006232583,0.010815046727657318
58,training,0.058600128,0.032844044268131256
59,training,0.044141904,0.007343845441937447
60,training,0.027450558,0.020204748958349228
61,training,0.015946927,0.005772626493126154
62,training,0.0048536174,0.031178191304206848
63,training,0.0039049247,0.054358500987291336
64,training,0.0048734583,0.08467212319374084
65,training,0.0009565311,0.08830080181360245
66,training,0.0017111768,0.06164564564824104
67,training,0.0079066185,0.011618886142969131
68,training,0.013346041,0.013365164399147034
69,training,0.0029986291,0.04958929494023323
70,training,0.053401135,0.10405586659908295
71,training,0.016241694,0.10871538519859314
72,training,0.0011083113,0.0679275169968605
73,training,0.012354292,0.066875159740448
74,training,0.0037413104,0.06881560385227203
75,training,0.0043255645,0.07789700478315353
76,training,0.003787806,0.09708841145038605
77,training,0.0024216704,0.11238353699445724
78,training,0.00084869383,0.04413653165102005
79,training,0.0020392607,0.04969293624162674
80,training,0.010542212,0.06172402203083038
81,training,0.009549179,0.04208659008145332
82,training,0.0013475225,0.011916346848011017
83,training,0.0012810075,0.03757479414343834
84,training,0.0040317634,0.05844174697995186
85,training,0.0041285,0.019461840391159058
86,training,0.0072849398,0.03920861333608627
87,training,0.0062323934,0.014827372506260872
88,training,0.03390734,0.004302092362195253
89,training,0.0023470488,0.02045958861708641
90,training,0.0024614297,0.05046990141272545
91,training,0.0051446203,0.02842583879828453
92,training,0.0022322587,0.016601555049419403
93,training,0.013551505,0.03677908331155777
94,training,0.020675726,0.050720565021038055
95,training,0.00042616396,0.04024995490908623
96,training,0.019038737,0.006177030503749847
97,training,0.008942022,0.050803291797637956
98,training,0.02742605,0.1507462024688721
99,training,0.04725868,0.2199649751186371
100,training,0.012110771,0.09008597582578659
101,training,0.0058887466,0.011966336518526077
102,training,0.009363106,0.02532612346112728
103,training,0.009431838,0.07944698631763458
104,training,0.004260143,0.12992055714130402
105,training,0.0048914477,0.09181591868400574
106,training,0.031256977,0.0023597427643835545
107,training,0.044505555,0.05978664383292198
108,training,0.020626716,0.022032570093870163
109,training,0.040229432,0.06906726211309433
110,training,0.042172737,0.053025033324956894
111,training,0.02380139,0.012284585274755955
112,training,0.008330052,0.0168924480676651
113,training,0.0018765872,0.05968315899372101
114,training,0.03482025,0.0780438557267189
115,training,0.0030564985,0.03674250468611717
116,training,0.017383905,0.01189290639013052
117,training,0.0010108683,0.05710238590836525
118,training,0.0030106346,0.07330737262964249
119,training,0.0020166186,0.050832197070121765
120,training,0.010301296,0.02134687267243862
121,training,0.001102526,0.04107777401804924
122,training,0.00095294556,0.034563660621643066
123,training,0.0013529644,0.007366186939179897
124,training,0.0035360712,0.0240977443754673
125,training,0.0015863294,0.06650673598051071
126,training,0.0031910092,0.08643301576375961
127,training,0.0034787604,0.07243596017360687
128,training,0.024216106,0.04430866986513138
129,training,0.0031781793,0.013240963220596313
130,training,0.001841625,0.015639863908290863
131,training,0.018476842,0.05020548030734062
132,training,0.0014030413,0.05321824178099632
133,training,0.0029079765,0.030439862981438637
134,training,0.030767962,0.0126869585365057
135,training,0.0027459632,0.01550196297466755
136,training,0.020959044,0.023070629686117172
137,training,0.0034645314,0.00959849264472723
138,training,0.0050311927,0.037229035049676895
139,training,0.0029118047,0.05922909080982208
140,training,0.002295944,0.02536674030125141
141,training,0.00044112653,0.004822437651455402
142,training,0.010362404,0.015329141169786453
143,training,0.0023226738,0.0010161008685827255
144,training,0.0006518491,0.013718131929636002
145,training,0.0012945846,0.02592109516263008
146,training,0.0009728204,0.024508267641067505
147,training,0.0011550544,0.014537367969751358
148,training,0.011197366,0.03133499249815941
149,training,0.03250892,0.07710294425487518
150,training,0.0029991097,0.06454350054264069
151,training,0.024528733,0.00014354148879647255
152,training,0.0033938903,0.20362082868814468
153,training,0.005460404,0.24896263852715492
154,training,0.0027796559,0.20280734077095985
155,training,0.001720256,0.1919303998351097
156,training,0.06110613,0.037066858261823654
157,training,0.041511454,0.015055734664201736
158,training,0.0082298005,0.013399976305663586
159,training,0.0012789256,0.0813504010438919
160,training,0.00519894,0.144241601228714
161,training,0.0019180051,0.10104802995920181
162,training,0.0014026187,0.03478918597102165
163,training,0.0048173033,0.05314129963517189
164,training,0.022404315,0.09110811352729797
165,training,0.003155382,0.13940337300300598
166,training,0.003859776,0.12176447361707687
167,training,0.0044033495,0.09149910509586334
168,training,0.0015221437,0.07558008283376694
169,training,0.0011938929,0.0705246701836586
170,training,0.00057784916,0.09377473592758179
171,training,0.0024052747,0.11702998727560043
172,training,0.00239704,0.12247326225042343
173,training,0.012226231,0.0974695086479187
174,training,0.007339634,0.058964237570762634
175,training,0.02194992,0.06131621077656746
176,training,0.056758277,0.08557010442018509
177,training,0.0020977764,0.1125379428267479
178,training,0.0016891233,0.12366631627082825
179,training,0.002900365,0.1079803854227066
180,training,0.003137086,0.08890534937381744
181,training,0.0015266524,0.08541398495435715
182,training,0.0009820007,0.104771189391613
183,training,0.00162148,0.11960568279027939
184,training,0.0028603903,0.13197889924049377
185,training,0.001640149,0.13390162587165833
186,training,0.00067769084,0.11155395954847336
187,training,0.0044195578,0.10655689984560013
188,training,0.0025181775,0.12054872512817383
189,training,0.056050934,0.14438003301620483
190,training,0.004462558,0.11332595348358154
191,training,0.0011090086,0.15114828944206238
192,training,0.0009922284,0.19779326021671295
193,training,0.0029531845,0.16963884234428406
194,training,0.0020176405,0.14428545534610748
195,training,0.009937876,0.1746663898229599
196,training,0.0035984907,0.17451873421669006
197,training,0.0010113153,0.15035919845104218
198,training,0.0035493933,0.147220179438591
199,training,0.0036300577,0.17103809118270874
200,training,0.003965342,0.1704605370759964
201,training,0.013920518,0.14083750545978546
202,training,0.0016249224,0.11127486079931259
203,training,0.0018728959,0.11560734361410141
204,training,0.02276301,0.15795277059078217
205,training,0.0026679728,0.18783192336559296
206,training,0.0035408717,0.16962574422359467
207,training,0.002492811,0.12016788125038147
208,training,0.008716248,0.010864563286304474
209,training,0.0045695277,0.008187763392925262
210,training,0.004330376,0.08018453866243364
211,training,0.029058348,0.11883479356765747
212,training,0.00048955256,0.11677639931440353
213,training,0.0025586614,0.11322037130594254
214,training,0.026390398,0.0937662199139595
215,training,0.010685896,0.07744989544153214
216,training,0.0014858654,0.11588674038648605
217,training,0.001340778,0.1445668488740921
218,training,0.010498352,0.117390476167202
219,training,0.017965099,0.08180327713489532
220,training,0.004574169,0.05063658580183983
221,training,0.0018897142,0.08105437457561493
222,training,0.005043791,0.09894559532403946
223,training,0.0012731738,0.09847600758075714
224,training,0.001290176,0.09050234407186508
225,training,0.0021839456,0.06676767021417618
226,training,0.03735194,0.0709008276462555
227,training,0.0006254506,0.1024559810757637
228,training,0.00089564803,0.08934695273637772
229,training,0.002851256,0.08282846957445145
230,training,0.011220456,0.06892488151788712
231,training,0.0072036297,0.04088545963168144
232,training,0.029867884,0.032020241022109985
233,training,0.0046765613,0.026027297601103783
234,training,0.003739283,0.004377593286335468
235,training,0.0043343087,0.026957910507917404
236,training,0.003107019,0.03181854262948036
237,training,0.0010822765,0.006725354585796595
238,training,0.0022775244,0.010511588305234909
239,training,0.0034348653,0.10005884617567062
240,training,0.001830795,0.14421968162059784
241,training,0.0037375973,0.15160836279392242
242,training,0.0018428919,0.12651404738426208
243,training,0.0027451902,0.159267395734787
244,training,0.001800753,0.2185610681772232
245,training,0.003164325,0.2635571360588074
246,training,0.0022916952,0.2437172681093216
247,training,0.00249313,0.19259928166866302
248,training,0.0101027815,0.16852645576000214
249,training,0.00066768477,0.16113443672657013
250,training,0.002721942,0.17713961005210876
251,training,0.0035048039,0.1246175616979599
252,training,0.00044854873,0.08511202782392502
253,training,0.0007066466,0.07598430663347244
254,training,0.01812556,0.06475675851106644
255,training,0.0060301214,0.06577381491661072
256,training,0.034921214,0.09601514041423798
257,training,0.0031644034,0.1300857812166214
