step,mode,loss,angle_error(rad)
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
0,test,0,0.0
1,training,0.0,0.0
2,training,0.021267274,0.03640610724687576
3,training,0.01982857,0.014836718328297138
4,training,0.021853173,0.010180862620472908
5,training,0.020992232,0.0242116991430521
6,training,0.017953014,0.015041682869195938
7,training,0.018466981,0.031490692868828773
8,training,0.014658702,0.006602996960282326
9,training,0.02143929,0.11947863548994064
10,training,0.013205194,0.05152663215994835
11,training,0.012713685,0.019400879740715027
12,training,0.007310371,0.020692819729447365
13,training,0.009168017,0.032240502536296844
14,training,0.009346112,0.005033398047089577
15,training,0.009113277,0.022601131349802017
16,training,0.006058698,0.03604777660220862
17,training,0.006147486,0.04537512734532356
18,training,0.0033099747,0.04113256558775902
19,training,0.002552048,0.038495320826768875
20,training,0.0017858035,0.018886923789978027
21,training,0.0014526346,0.022913433611392975
22,training,0.00133072,0.03502316027879715
23,training,0.0013953047,0.03796171024441719
24,training,0.0015673978,0.048139505088329315
25,training,0.0011129944,0.06538554280996323
26,training,0.00090879854,0.054091088473796844
27,training,0.0011644801,0.035520777106285095
28,training,0.0011106246,0.046774037182331085
29,training,0.0005749217,0.0742458626627922
30,training,0.001706024,0.050665806978940964
31,training,0.0015093082,0.020418545231223106
32,training,0.0015637749,0.01995771750807762
33,training,0.0003519404,0.05585220456123352
34,training,0.0014709906,0.06377359479665756
35,training,0.0010112472,0.02644144557416439
36,training,0.0009854166,0.01562710665166378
37,training,0.0008931312,0.006563152652233839
38,training,0.00065669103,0.013228175230324268
39,training,0.0013001394,0.0293610617518425
40,training,0.0010514249,0.043001215904951096
41,training,0.0011685231,0.06044059619307518
42,training,0.0022541962,0.04678419232368469
43,training,0.002205956,0.06130543351173401
44,training,0.0008907706,0.08914085477590561
45,training,0.0009738477,0.0785854384303093
46,training,0.0005880186,0.06924538314342499
47,training,0.00084108097,0.06110960990190506
48,training,0.002265694,0.07510416954755783
49,training,0.002987751,0.0638878345489502
50,training,0.00084681675,0.06721758842468262
