step,mode,loss,angle_error(rad)
1,training,0.0,0.0
2,training,0.20877983,0.8382955506443978
3,training,0.10894856,0.08879420161247253
4,training,0.24489622,1.0659853607416152
5,training,0.2526219,0.1686956286430359
6,training,0.22544599,0.10766667872667313
7,training,0.14267111,0.1835535027086735
8,training,0.11522244,0.02059447206556797
9,training,0.025017006,0.015145616605877876
10,training,0.12436791,0.37459217458963395
11,training,0.016046379,0.5030566602945328
12,training,0.22823437,0.5086172297596931
13,training,0.24564047,0.0761919692158699
14,training,0.031492975,0.041367411613464355
15,training,0.15089619,0.005833655130118132
16,training,0.2692986,0.8496481604874134
17,training,0.120966956,0.8368723332881928
18,training,0.075493164,0.5815884232521057
19,training,0.0789414,0.14972546845674517
20,training,0.02757054,0.043885551393032074
21,training,0.11492948,0.2618964187800884
22,training,0.066991314,0.030609557405114174
23,training,0.23663135,0.013591610826551914
24,training,0.1220127,0.48580987080931665
25,training,0.16327049,0.335636730492115
26,training,0.043530725,0.249788889545016
27,training,0.13360871,0.7229498220607639
28,training,0.1212782,0.6633567418903112
29,training,0.046311893,0.852034555375576
30,training,0.12162771,0.8346308387815953
31,training,0.18139946,0.717635490000248
32,training,0.05617542,0.26309386119246486
33,training,0.1698155,0.03603681921958923
34,training,0.1960071,0.11985507521312684
35,training,0.027163835,0.5154414884746075
36,training,0.14187148,0.8751567989587784
37,training,0.2649824,0.0035425787791609764
38,training,0.15645584,0.16659514233469963
39,training,0.41885918,0.31808156967163087
40,training,0.26375577,0.021136150509119038
41,training,0.043672215,0.368339522369206
42,training,0.030420672,0.15425197035074234
43,training,0.22454637,0.0087972953915596
44,training,0.14660479,0.004226285498589277
45,training,0.26467192,0.024189777672290802
46,training,0.026029207,0.007945061475038526
47,training,0.3210427,0.010804361104965216
48,training,0.1976673,0.008312141895294195
49,training,0.14813083,0.12972374260425568
50,training,0.086069256,0.04263118654489517
51,training,0.017118953,0.07066269218921661
52,training,0.021024471,0.0027986615896224976
53,training,0.09557453,0.016619917005300522
54,training,0.17177069,0.0003258718934375793
55,training,0.02037221,0.008382594957947735
56,training,0.03950061,0.03139073289930821
57,training,0.3409689,0.16703887581825255
58,training,0.12783752,0.13837109655141833
59,training,0.21518536,0.03660088777542114
60,training,0.028062504,0.09795622155070305
61,training,0.12721783,0.10161058753728866
62,training,0.036637537,0.09180742353200913
63,training,0.10020485,0.12105275690555573
64,training,0.025315916,0.2627951711416245
