step,mode,loss,angle_error(rad)
1,test,0,0.049325596541166306
2,test,0,0.24690388143062592
3,test,0,0.24572645127773285
4,test,0,0.24687756597995758
5,test,0,0.24342691898345947
6,test,0,0.24082116782665253
7,test,0,0.2752271294593811
8,test,0,0.28024759888648987
9,test,0,0.27993032336235046
10,test,0,0.2182641625404358
11,test,0,0.1289663165807724
12,test,0,0.11854374408721924
13,test,0,0.15821640193462372
14,test,0,0.13784745335578918
15,test,0,0.14978250861167908
16,test,0,0.2397003173828125
17,test,0,0.2523288428783417
18,test,0,0.19892258942127228
19,test,0,0.10250566899776459
20,test,0,0.02867715433239937
21,test,0,0.04211072623729706
22,test,0,0.02075023017823696
23,test,0,0.020796671509742737
24,test,0,0.023405661806464195
25,test,0,0.022680502384901047
26,test,0,0.02185717225074768
27,test,0,0.02179870754480362
28,test,0,0.021852098405361176
29,test,0,0.0215931199491024
30,test,0,0.021547172218561172
31,test,0,0.02167174033820629
32,test,0,0.021647067740559578
33,test,0,0.022074706852436066
34,test,0,0.021714292466640472
35,test,0,0.021603653207421303
36,test,0,0.021556610241532326
37,test,0,0.022186346352100372
38,test,0,0.02252315916121006
39,test,0,0.02231060341000557
40,test,0,0.022679179906845093
41,test,0,0.02218353934586048
42,test,0,0.021643202751874924
43,test,0,0.022117793560028076
44,test,0,0.02308867871761322
45,test,0,0.023641349747776985
46,test,0,0.024044467136263847
47,test,0,0.0222278144210577
48,test,0,0.023126183077692986
49,test,0,0.023514050990343094
50,test,0,0.021222498267889023
51,test,0,0.022030282765626907
52,test,0,0.022186970338225365
53,test,0,0.020703572779893875
54,test,0,0.0213936697691679
55,test,0,0.021341927349567413
56,test,0,0.02122158743441105
57,test,0,0.022935926914215088
58,test,0,0.025876497849822044
59,test,0,0.029962856322526932
60,test,0,0.03000018373131752
61,test,0,0.030000409111380577
62,test,0,0.03088955581188202
63,test,0,0.029834257438778877
64,test,0,0.0309552401304245
65,test,0,0.0305427648127079
66,test,0,0.03214266896247864
67,test,0,0.033778268843889236
68,test,0,0.032861899584531784
69,test,0,0.032861579209566116
70,test,0,0.030945343896746635
71,test,0,0.0316292867064476
72,test,0,0.028437362983822823
73,test,0,0.026134323328733444
74,test,0,0.025723321363329887
75,test,0,0.021377701312303543
76,test,0,0.018615737557411194
77,test,0,0.016703087836503983
78,test,0,0.012389632873237133
79,test,0,0.007891032844781876
80,test,0,0.008834891021251678
81,test,0,0.006560983136296272
82,test,0,0.006370719522237778
83,test,0,0.004445649683475494
84,test,0,0.002825425937771797
85,test,0,0.0022496189922094345
86,test,0,0.0042414553463459015
87,test,0,0.005871042609214783
88,test,0,0.00538991391658783
89,test,0,0.004652852192521095
90,test,0,0.0067755356431007385
91,test,0,0.0066215880215168
92,test,0,0.010161910206079483
93,test,0,0.013723619282245636
94,test,0,0.015552930533885956
95,test,0,0.015396103262901306
96,test,0,0.01185939833521843
97,test,0,0.01793839782476425
98,test,0,0.019815195351839066
99,test,0,0.019176263362169266
100,test,0,0.01994001492857933
101,test,0,0.011657338589429855
102,test,0,0.009600702673196793
103,test,0,0.011135153472423553
104,test,0,0.011096369475126266
105,test,0,0.010355114936828613
106,test,0,0.01625865325331688
107,test,0,0.020986612886190414
108,test,0,0.023505084216594696
109,test,0,0.020595330744981766
110,test,0,0.026173874735832214
111,test,0,0.030061978846788406
112,test,0,0.03248521685600281
113,test,0,0.03937782719731331
114,test,0,0.04598182812333107
115,test,0,0.039788294583559036
116,test,0,0.04715291038155556
117,test,0,0.04853525385260582
118,test,0,0.0510556735098362
119,test,0,0.050972167402505875
120,test,0,0.057034607976675034
121,test,0,0.05658580735325813
122,test,0,0.06118147447705269
123,test,0,0.058992158621549606
124,test,0,0.05538240447640419
125,test,0,0.056241486221551895
126,test,0,0.05547532066702843
127,test,0,0.05615924671292305
128,test,0,0.05460787191987038
129,test,0,0.05586380138993263
130,test,0,0.05731656029820442
131,test,0,0.0604359395802021
132,test,0,0.060019444674253464
133,test,0,0.05901398882269859
134,test,0,0.05826250836253166
135,test,0,0.06676052510738373
136,test,0,0.06549350917339325
137,test,0,0.07192400097846985
138,test,0,0.0705946534872055
139,test,0,0.07082296907901764
140,test,0,0.07351692020893097
141,test,0,0.07334373891353607
142,test,0,0.07538610696792603
143,test,0,0.07322277128696442
144,test,0,0.07735839486122131
145,test,0,0.07667362689971924
146,test,0,0.07738003134727478
147,test,0,0.07555294036865234
148,test,0,0.07788775861263275
149,test,0,0.07759179174900055
